index,name,demangled_name,version,address,size,type,binding,visibility,section,defined
113,_ZN10w9XxgaJdbx10ur760aKSByERK10eY2wgaf6pw,w9XxgaJdbx::ur760aKSBy(eY2wgaf6pw const&),,0x1bc3f0,1284,FUNC,GLOBAL,DEFAULT,9,True
114,_ZN10SU3JfaCUmR10tkhIfaQbSPERK10C8THgaTQxFffffiiiiii,"SU3JfaCUmR::tkhIfaQbSP(C8THgaTQxF const&, float, float, float, float, int, int, int, int, int, int)",,0x10c6bc,1328,FUNC,GLOBAL,DEFAULT,9,True
115,_ZN6CyaInt8s_mp_subEPNS_6mp_intES1_S1_,"CyaInt::s_mp_sub(CyaInt::mp_int*, CyaInt::mp_int*, CyaInt::mp_int*)",,0x2c72ec,420,FUNC,GLOBAL,DEFAULT,9,True
116,_ZN10RH6ygazf9xC1EPS_,RH6ygazf9x::RH6ygazf9x(RH6ygazf9x*),,0x20f79c,512,FUNC,GLOBAL,DEFAULT,9,True
117,_Z15jpeg_idct_islowP22jpeg_decompress_structP19jpeg_component_infoPsPPhj,"jpeg_idct_islow(jpeg_decompress_struct*, jpeg_component_info*, short*, unsigned char**, unsigned int)",,0x2ae350,1380,FUNC,GLOBAL,DEFAULT,9,True
118,glActiveTexture,glActiveTexture,,0x0,0,FUNC,GLOBAL,DEFAULT,UND,False
119,_ZN10pdnkJaZ8KK10tIIEga1dSCEP10W6NzgawMJy,pdnkJaZ8KK::tIIEga1dSC(W6NzgawMJy*),,0x244a1c,1192,FUNC,GLOBAL,DEFAULT,9,True
120,_ZN10W6NzgawMJy10ww_vwaZcxYEii,"W6NzgawMJy::ww_vwaZcxY(int, int)",,0x171b30,188,FUNC,GLOBAL,DEFAULT,9,True
121,_ZN10yO8PSaf1tKD0Ev,yO8PSaf1tK::~yO8PSaf1tK(),,0x1afe30,72,FUNC,WEAK,DEFAULT,9,True
122,_ZN10uzvDgataRB10oWWiIaPbyTERK10cXoLgatBuI,uzvDgataRB::oWWiIaPbyT(cXoLgatBuI const&),,0x1b1bbc,76,FUNC,GLOBAL,DEFAULT,9,True
123,_Z10MAFjJaBB9JRK10C8THgaTQxF,MAFjJaBB9J(C8THgaTQxF const&),,0x1e9578,476,FUNC,GLOBAL,DEFAULT,9,True
124,_ZN10UmnigaXg4jC2Ev,UmnigaXg4j::UmnigaXg4j(),,0x16d758,40,FUNC,GLOBAL,DEFAULT,9,True
125,_ZN10pdnkJaZ8KK10KiaPgaqhFLERK10V6P7faBscbjb,"pdnkJaZ8KK::KiaPgaqhFL(V6P7faBscb const&, unsigned int, bool)",,0x245240,1216,FUNC,GLOBAL,DEFAULT,9,True
126,_Z13jpeg_idct_2x2P22jpeg_decompress_structP19jpeg_component_infoPsPPhj,"jpeg_idct_2x2(jpeg_decompress_struct*, jpeg_component_info*, short*, unsigned char**, unsigned int)",,0x2aec0c,664,FUNC,GLOBAL,DEFAULT,9,True
127,cos@LIBC (3),cos,LIBC (3),0x0,0,FUNC,GLOBAL,DEFAULT,UND,False
128,jXbLlbAFjV,jXbLlbAFjV,,0x3a2e18,8,OBJECT,GLOBAL,DEFAULT,19,True
129,_ZN10G0gxgajWBw10c_H_fa_Cm4ERK10C8THgaTQxF,G0gxgajWBw::c_H_fa_Cm4(C8THgaTQxF const&),,0x216968,112,FUNC,GLOBAL,DEFAULT,9,True
130,_Z7InitMd5P3Md5,InitMd5(Md5*),,0x2cbc5c,64,FUNC,GLOBAL,DEFAULT,9,True
131,_ZN10GbMhIaz9yS10q2hwgaKNMvERK10cXoLgatBuI,GbMhIaz9yS::q2hwgaKNMv(cXoLgatBuI const&),,0x1c2ad8,776,FUNC,GLOBAL,DEFAULT,9,True
132,_ZN10ZOPBLaGcrF10mR3fLauR7mE,ZOPBLaGcrF::mR3fLauR7m,,0x3a0f9c,4,OBJECT,GLOBAL,DEFAULT,19,True
133,_ZN10ieJzgaIFFy10xYNcHayEnYEv,ieJzgaIFFy::xYNcHayEnY(),,0x163974,156,FUNC,GLOBAL,DEFAULT,9,True
134,_ZN10w9XxgaJdbx10nEbx1azpxUERK10eY2wgaf6pw,w9XxgaJdbx::nEbx1azpxU(eY2wgaf6pw const&),,0x1b092c,12,FUNC,WEAK,DEFAULT,9,True
135,_ZN10SU3JfaCUmR10OZ5KfaLEeSEP10OYYKfaPU7RPfiS2_S2_b,"SU3JfaCUmR::OZ5KfaLEeS(OYYKfaPU7R*, float*, int, float*, float*, bool)",,0x10c67c,4,FUNC,GLOBAL,DEFAULT,9,True
136,_ZN10zW2NgaU4IK10WCAVfaxq3_Ev,zW2NgaU4IK::WCAVfaxq3_(),,0x21c994,116,FUNC,GLOBAL,DEFAULT,9,True
137,_ZN10zF9VgaBKxR10LiM2RarfX4EPiS0_,"zF9VgaBKxR::LiM2RarfX4(int*, int*)",,0x1ae1d8,532,FUNC,GLOBAL,DEFAULT,9,True
138,_ZN10eODlJaQ5OL10VwE_WanIjfEiP10LBgVgaqANQ,"eODlJaQ5OL::VwE_WanIjf(int, LBgVgaqANQ*)",,0x241a5c,132,FUNC,GLOBAL,DEFAULT,9,True
139,_ZN10C8THgaTQxF10aW8aJaB7ZCEbPKcSt9__va_list,"C8THgaTQxF::aW8aJaB7ZC(bool, char const*, std::__va_list)",,0xf3dec,88,FUNC,GLOBAL,DEFAULT,9,True
140,_ZThn16_N10c76BgaJBGAD0Ev,non-virtual thunk to c76BgaJBGA::~c76BgaJBGA(),,0x22cce4,8,FUNC,GLOBAL,DEFAULT,9,True
141,_ZTV10ZPvEDawoHY,vtable for ZPvEDawoHY,,0x377a20,888,OBJECT,WEAK,DEFAULT,15,True
142,_ZN10LJyzga9Pwy10A2AZgaUMqUE,LJyzga9Pwy::A2AZgaUMqU,,0x3a0928,8,OBJECT,GLOBAL,DEFAULT,19,True
143,_ZN10G0gxgajWBw10uLjcMaFeZ9EdRK10C8THgaTQxFPS_,"G0gxgajWBw::uLjcMaFeZ9(double, C8THgaTQxF const&, G0gxgajWBw*)",,0x214f5c,88,FUNC,GLOBAL,DEFAULT,9,True
144,_ZN10FOb5fbmyZ8D2Ev,FOb5fbmyZ8::~FOb5fbmyZ8(),,0x230024,76,FUNC,GLOBAL,DEFAULT,9,True
145,_ZN10xKbb3aMu1hD0Ev,xKbb3aMu1h::~xKbb3aMu1h(),,0x11d534,4,FUNC,WEAK,DEFAULT,9,True
146,_ZN10GaA2gaD2MX10HhFpfaxlcAERK10C8THgaTQxF,GaA2gaD2MX::HhFpfaxlcA(C8THgaTQxF const&),,0x16c864,376,FUNC,GLOBAL,DEFAULT,9,True
147,_ZN20imqXgalNBSPropertiesD2Ev,imqXgalNBSProperties::~imqXgalNBSProperties(),,0x1e4c28,28,FUNC,WEAK,DEFAULT,9,True
148,_ZN20znLtuaytEfPropertiesD0Ev,znLtuaytEfProperties::~znLtuaytEfProperties(),,0x16ae10,56,FUNC,WEAK,DEFAULT,9,True
149,_ZN10CanTfaz6bZ10wsWEEaIN2OERKS_,CanTfaz6bZ::wsWEEaIN2O(CanTfaz6bZ const&),,0xf8de0,116,FUNC,GLOBAL,DEFAULT,9,True
150,mGEllbeQPz,mGEllbeQPz,,0x3a2e20,4,OBJECT,GLOBAL,DEFAULT,19,True
151,_ZN10zeksfaZDrC10TPtsfaqIzCEii,"zeksfaZDrC::TPtsfaqIzC(int, int)",,0x1afb2c,12,FUNC,WEAK,DEFAULT,9,True
152,_ZN10ln7yHaeP9f10u1zrJaSVOQEf,ln7yHaeP9f::u1zrJaSVOQ(float),,0x1ce8e8,132,FUNC,GLOBAL,DEFAULT,9,True
153,_Z10mYk6FatfX1v,mYk6FatfX1(),,0xe7764,20,FUNC,GLOBAL,DEFAULT,9,True
154,memchr@LIBC (2),memchr,LIBC (2),0x0,0,FUNC,GLOBAL,DEFAULT,UND,False
155,_ZN10_thLgaWjoI10F1pSga8voOEii,"_thLgaWjoI::F1pSga8voO(int, int)",,0x1cbd3c,96,FUNC,GLOBAL,DEFAULT,9,True
156,_ZN10TZf6gaQ3S_10rJRNfaQOyUEj,TZf6gaQ3S_::rJRNfaQOyU(unsigned int),,0x1104bc,184,FUNC,GLOBAL,DEFAULT,9,True
157,_ZTV10pTy_fadYe4,vtable for pTy_fadYe4,,0x374e90,880,OBJECT,WEAK,DEFAULT,15,True
158,ft_outline_glyph_init,ft_outline_glyph_init,,0x27fe94,116,FUNC,GLOBAL,DEFAULT,9,True
