ea,kind,original,demangled,alias
915344,plt_thunk,._ZN15TParticleDataEx20setPartHeightInTilesEf,TParticleDataEx::setPartHeightInTiles(float),plt_TParticleDataEx_setPartHeightInTiles_float
915360,plt_thunk,._ZN11TGraalActorC2Ei,TGraalActor::TGraalActor(int),plt_TGraalActor_TGraalActor_int
915376,plt_thunk,._ZN6CyaInt9SendAlertEPNS_6CYASSLEii,"CyaInt::SendAlert(CyaInt::CYASSL *,int,int)",plt_CyaInt_SendAlert_CyaInt_CYASSL_int_int
915392,plt_thunk,._Z10Arc4SetKeyP4Arc4PKhj,"Arc4SetKey(Arc4 *,uchar const*,uint)",plt_Arc4SetKey_Arc4_uchar_const_uint
915408,plt_thunk,._ZN8TShowImg15setAttachOffsetERK13T3DFloatPoint,TShowImg::setAttachOffset(T3DFloatPoint const&),plt_TShowImg_setAttachOffset_T3DFloatPoint_const
915424,plt_thunk,._Z36TScriptUniverse_initStaticScriptVarsv,TScriptUniverse_initStaticScriptVars(void),plt_TScriptUniverse_initStaticScriptVars_void
915440,plt_thunk,._ZN6CyaInt19RsaSSL_VerifyInlineEPhjPS0_PNS_6RsaKeyE,"CyaInt::RsaSSL_VerifyInline(uchar *,uint,uchar **,CyaInt::RsaKey *)",plt_CyaInt_RsaSSL_VerifyInline_uchar_uint_uchar_CyaInt_RsaKey
915456,plt_thunk,._ZN17TDrawingPanelPort19drawClippedTriangleE6TPointS0_S0_P7TBitmapPS_RK9T2DMatrix,"TDrawingPanelPort::drawClippedTriangle(TPoint,TPoint,TPoint,TBitmap *,TDrawingPanelPort*,T2DMatrix const&)",plt_TDrawingPanelPort_drawClippedTriangle_TPoint_TPoint_TPoint_TBitmap_TDrawingPanelPort_T2DMatrix_const
915504,plt_thunk,._ZN11TGaniObjectC2EP12TServerLevel_0,TGaniObject::TGaniObject(TServerLevel *),plt_TGaniObject_TGaniObject_TServerLevel__2
915520,plt_thunk,._ZN6CyaInt9mp_mulmodEPNS_6mp_intES1_S1_S1_,"CyaInt::mp_mulmod(CyaInt::mp_int *,CyaInt::mp_int *,CyaInt::mp_int *,CyaInt::mp_int *)",plt_CyaInt_mp_mulmod_CyaInt_mp_int_CyaInt_mp_int_CyaInt_mp_int_CyaInt_mp_int
915552,plt_thunk,._ZN16TTranslationFile14getTranslationERK7TString,TTranslationFile::getTranslation(TString const&),plt_TTranslationFile_getTranslation_TString_const
915568,plt_thunk,._ZN14TScriptMachine23checkLinkObjectForStateEP9TGraalVarP5TList,"TScriptMachine::checkLinkObjectForState(TGraalVar *,TList *)",plt_TScriptMachine_checkLinkObjectForState_TGraalVar_TList
915584,plt_thunk,._ZN7TPlayer30translateWorldToScreenPositionERdS0_,"TPlayer::translateWorldToScreenPosition(double &,double &)",plt_TPlayer_translateWorldToScreenPosition_double_double
915600,plt_thunk,._ZN13TParticleData9pixelsizeEv,TParticleData::pixelsize(void),plt_TParticleData_pixelsize_void
915616,plt_thunk,._ZN16TGraalConnection15connectToServerERK7TStringS2_,"TGraalConnection::connectToServer(TString const&,TString const&)",plt_TGraalConnection_connectToServer_TString_const_TString_const
915632,plt_thunk,._ZN7TClient8sendFlagERK7TString,TClient::sendFlag(TString const&),plt_TClient_sendFlag_TString_const
915648,plt_thunk,._ZN12TServerLevel13isOnExplosionEdd,"TServerLevel::isOnExplosion(double,double)",plt_TServerLevel_isOnExplosion_double_double
915680,plt_thunk,._ZN15GuiTextListCtrl15getEntryByIndexEi,GuiTextListCtrl::getEntryByIndex(int),plt_GuiTextListCtrl_getEntryByIndex_int
915712,plt_thunk,._ZN7TClient13removeBigfileEv,TClient::removeBigfile(void),plt_TClient_removeBigfile_void
915728,plt_thunk,._Z33guiPopUpCtrl_initStaticScriptVarsv,guiPopUpCtrl_initStaticScriptVars(void),plt_guiPopUpCtrl_initStaticScriptVars_void
915744,plt_thunk,._ZN8TPaletteD2Ev,TPalette::~TPalette(),plt_TPalette_TPalette
915760,plt_thunk,._ZN9TGUIStyleD2Ev,TGUIStyle::~TGUIStyle(),plt_TGUIStyle_TGUIStyle
915776,plt_thunk,._ZN8TBSPTree12removeObjectEPvRK10TRectangle,"TBSPTree::removeObject(void *,TRectangle const&)",plt_TBSPTree_removeObject_void_TRectangle_const
915792,plt_thunk,._Z14checkForNewMapP7TPlayerRK7TString,"checkForNewMap(TPlayer *,TString const&)",plt_checkForNewMap_TPlayer_TString_const
915808,plt_thunk,._Z21jinit_1pass_quantizerP22jpeg_decompress_struct,jinit_1pass_quantizer(jpeg_decompress_struct *),plt_jinit_1pass_quantizer_jpeg_decompress_struct
915824,plt_thunk,._ZN7TClient13sendWeaponHitEdddP10TServerNPC,"TClient::sendWeaponHit(double,double,double,TServerNPC *)",plt_TClient_sendWeaponHit_double_double_double_TServerNPC
915840,plt_thunk,._Z22TWindow_initStaticVarsv,TWindow_initStaticVars(void),plt_TWindow_initStaticVars_void
915856,plt_thunk,._ZN15TScriptUniverse12getGlobalVarERK7TString,TScriptUniverse::getGlobalVar(TString const&),plt_TScriptUniverse_getGlobalVar_TString_const
915872,plt_thunk,._ZN7TRegionC2Ev,TRegion::TRegion(void),plt_TRegion_TRegion_void
915888,plt_thunk,._ZN9TGraalVar15getMaxLoopLimitEv,TGraalVar::getMaxLoopLimit(void),plt_TGraalVar_getMaxLoopLimit_void
915904,plt_thunk,._ZN23GuiMLTextCtrlPropertiesC2Ev,GuiMLTextCtrlProperties::GuiMLTextCtrlProperties(void),plt_GuiMLTextCtrlProperties_GuiMLTextCtrlProperties_void
915920,plt_thunk,._Z5drandv,drand(void),plt_drand_void
915936,plt_thunk,._ZN7TClient15sendRemoveExtraEdd,"TClient::sendRemoveExtra(double,double)",plt_TClient_sendRemoveExtra_double_double
915952,plt_thunk,._ZN9GuiCanvas11mouseUnlockEiP10GuiControl,"GuiCanvas::mouseUnlock(int,GuiControl *)",plt_GuiCanvas_mouseUnlock_int_GuiControl
915968,plt_thunk,._ZN8TShowImgD2Ev,TShowImg::~TShowImg(),plt_TShowImg_TShowImg
915984,plt_thunk,._ZN16TGUIScriptLoader22runFailedsafeConnectorEv,TGUIScriptLoader::runFailedsafeConnector(void),plt_TGUIScriptLoader_runFailedsafeConnector_void
916000,plt_thunk,._ZN7TPlayer12buttonActionEi,TPlayer::buttonAction(int),plt_TPlayer_buttonAction_int
916016,plt_thunk,._ZN16TGraalConnection12addRawToCompEv,TGraalConnection::addRawToComp(void),plt_TGraalConnection_addRawToComp_void
916032,plt_thunk,._ZN12GuiArrayCtrlD2Ev_0,GuiArrayCtrl::~GuiArrayCtrl(),plt_GuiArrayCtrl_GuiArrayCtrl__2
916048,plt_thunk,._ZN8TShowImg8setLayerEi,TShowImg::setLayer(int),plt_TShowImg_setLayer_int
916064,plt_thunk,._Z15openVideoPlayerRK7TStringS1_,"openVideoPlayer(TString const&,TString const&)",plt_openVideoPlayer_TString_const_TString_const
916080,plt_thunk,._ZN18TClientEnvironment10loadEngineERK7TStringb,"TClientEnvironment::loadEngine(TString const&,bool)",plt_TClientEnvironment_loadEngine_TString_const_bool
916096,plt_thunk,._ZN6CyaInt6mp_subEPNS_6mp_intES1_S1_,"CyaInt::mp_sub(CyaInt::mp_int *,CyaInt::mp_int *,CyaInt::mp_int *)",plt_CyaInt_mp_sub_CyaInt_mp_int_CyaInt_mp_int_CyaInt_mp_int
916112,plt_thunk,._ZN5TFontD2Ev,TFont::~TFont(),plt_TFont_TFont
916128,plt_thunk,._ZN7TStream5ClearEv,TStream::Clear(void),plt_TStream_Clear_void
916144,plt_thunk,._ZN10GuiControl9setActiveEb,GuiControl::setActive(bool),plt_GuiControl_setActive_bool
916160,plt_thunk,._ZN15TGraalAniSprite6setimgERK7TString,TGraalAniSprite::setimg(TString const&),plt_TGraalAniSprite_setimg_TString_const
916176,plt_thunk,._ZN13TGUIAnimationD2Ev,TGUIAnimation::~TGUIAnimation(),plt_TGUIAnimation_TGUIAnimation
916192,plt_thunk,._ZN12THashStringsC2ERK7TString,THashStrings::THashStrings(TString const&),plt_THashStrings_THashStrings_TString_const
