2.2_name,2.2_address,size,byte_sha256,family,1.8_ida_name,1.8_raw_symbol,1.8_demangled_symbol,1.8_address,address_delta_2.2_minus_1.8,1.8_name_origin,1.8_source_kind
tt_cmap12_init,0x261f30,56,b358402a24a49f458fa0283be6250f8d1a6e05622bdd6bb1ec5575b4594fe488,FreeType/TrueType,tt_cmap12_init,,,0x254ac0,0xd470,ida_named_non_elf,
tt_cmap14_char_next,0x261fe4,12,b6d5765a7042616d090ee99bce5e7306f997c1f6e8a55d786330b6754cd166f1,FreeType/TrueType,tt_cmap14_char_next,,,0x254b74,0xd470,ida_named_non_elf,
tt_cmap14_char_var_index,0x265efc,768,993fdfc6a8e5bcc89e4d68ea0426fdbc256e4bdcc74005b2ac1efecae2b7597a,FreeType/TrueType,tt_cmap14_char_var_index,,,0x258a8c,0xd470,ida_named_non_elf,
tt_cmap14_char_var_isdefault,0x265c0c,752,89cec197c903c235c90fc9c55e4f8604687b3dbb46413d2626927ba0406a4b1c,FreeType/TrueType,tt_cmap14_char_var_isdefault,,,0x25879c,0xd470,ida_named_non_elf,
tt_cmap14_get_info,0x261ff0,24,8507470c5daae8a1262b172bad70c2707c6d2d5e56a932198cc0b0fd793f4947,FreeType/TrueType,tt_cmap14_get_info,,,0x254b80,0xd470,ida_named_non_elf,
tt_cmap14_init,0x261fa0,60,db371ce686de946984cd131383d9944b4a54bad24c7f25775159b94cf4b1dff7,FreeType/TrueType,tt_cmap14_init,,,0x254b30,0xd470,ida_named_non_elf,
tt_cmap2_char_index,0x2656dc,232,5e8e872a955d0433d9105ff05de10014d49eaa7a86fbb727473822c62003e160,FreeType/TrueType,tt_cmap2_char_index,,,0x25826c,0xd470,ida_named_non_elf,
tt_cmap2_char_next,0x2618ec,344,6298493bfbfce00f2726a0cda61ee10426bf6f644a6b4ce0c88e57cd37ebe7ae,FreeType/TrueType,tt_cmap2_char_next,,,0x25447c,0xd470,ida_named_non_elf,
tt_cmap2_get_info,0x261a44,40,3bd3604c407e7bb37521ef634975ba7f8029323d91b89905633d8030e42b4390,FreeType/TrueType,tt_cmap2_get_info,,,0x2545d4,0xd470,ida_named_non_elf,
tt_cmap4_char_index,0x266e30,1072,613a7ad3c7602fd44be0d7b30e3dd4d22d63401971be709e772011e2e0bed808,FreeType/TrueType,tt_cmap4_char_index,,,0x2599c0,0xd470,ida_named_non_elf,
tt_cmap4_char_next,0x2661fc,2212,aaddec346789fe889bb4757af211e3eb6b4dfeb45018f86e21b8cc98630b9099,FreeType/TrueType,tt_cmap4_char_next,,,0x258d8c,0xd470,ida_named_non_elf,
tt_cmap4_get_info,0x261a9c,40,f6bd6af54dd95456aa08995475425f826277fd1816bafbc6ccd5d82c4f8061e9,FreeType/TrueType,tt_cmap4_get_info,,,0x25462c,0xd470,ida_named_non_elf,
tt_cmap4_init,0x261a6c,48,6e50cf97f060c251f94daae3711457fefd0f744522061f000f9d07f9c32cc966,FreeType/TrueType,tt_cmap4_init,,,0x2545fc,0xd470,ida_named_non_elf,
tt_cmap6_char_index,0x261ac4,72,41d3a6a739f4ab26e0ea1869cd7d34e12ff6d4f3419ae479c544a137c5dd48af,FreeType/TrueType,tt_cmap6_char_index,,,0x254654,0xd470,ida_named_non_elf,
tt_cmap6_char_next,0x261b0c,164,45eb48b6dcb461ff18b86ebba5183e97183601ce3513b6356aadf40fc30bf5ea,FreeType/TrueType,tt_cmap6_char_next,,,0x25469c,0xd470,ida_named_non_elf,
tt_cmap6_get_info,0x261bb0,40,69a791bf583530dc44ce7078dfcfe30ba02dd5309cfcdcdd0262d36a09f80333,FreeType/TrueType,tt_cmap6_get_info,,,0x254740,0xd470,ida_named_non_elf,
